asset_id,name,asset_type,city,state,nav_usd,hazard_bucket,insurance_status,data_quality,lat,lon
ST-AST-017,PNW Timberland Note,timber,Seattle,WA,7546963.28,wildfire,full,incomplete,47.6,-122.33
ST-AST-018,Texas Interchange Industrial,industrial,Dallas,TX,12858624.8,heat_hail,sublimited,clean,32.78,-96.8
ST-AST-019,Florida Keys Hospitality,hospitality,Key West,FL,9593381.01,hurricane_slr,sublimited,incomplete,24.56,-81.78
ST-AST-020,Mid-Atlantic Fiber Hut,datacenter,Ashburn,VA,23235367.31,grid,in_market_review,incomplete,39.04,-77.49
ST-AST-021,Carolinas Retail Strip Extension 21,retail,Charleston,SC,8244492.89,hurricane,sublimited,contradictory,32.82901404889435,-79.92457993878266
ST-AST-022,Empire State Floor Plate Extension 22,office,New York,NY,27163722.43,coastal_flood,sublimited,incomplete,40.71865035947171,-73.99385279713341
ST-AST-023,Gulfport Terminal Leasehold Extension 23,infra,New Orleans,LA,17875401.31,flood_hurricane,full,incomplete,29.902402205923963,-90.06789555160873
ST-AST-024,Norfolk Port Adjacent Yard Extension 24,infra,Norfolk,VA,15298923.53,flood,exclusions_flood,contradictory,36.83365179389246,-76.24730768909698
ST-AST-025,Cascade Wind Ridge Extension 25,renewables,Portland,OR,11374995.98,wildfire,in_market_review,clean,45.560497817266445,-122.67747070767324
ST-AST-026,Desert Edge Solar + BESS Extension 26,renewables,Phoenix,AZ,14036141.51,heat_drought,full,incomplete,33.42107385682657,-112.11284331180524
ST-AST-027,PNW Timberland Note Extension 27,timber,Seattle,WA,6627920.12,wildfire,full,clean,47.554375649067644,-122.35328507132554
ST-AST-028,Bayou Logistics Park Extension 28,industrial,Houston,TX,12693417.69,flood,in_market_review,clean,29.77064254785268,-95.33552290329712
ST-AST-029,SoCal Last-Mile Hub Extension 29,logistics,Los Angeles,CA,8205972.87,wildfire,full,contradictory,34.08408207489268,-118.27921165780542
ST-AST-030,Great Lakes Warehouse Cluster Extension 30,industrial,Chicago,IL,14196279.77,flood,sublimited,incomplete,41.8503349393795,-87.59640350534646
ST-AST-031,PNW Timberland Note Extension 31,timber,Seattle,WA,5985538.67,wildfire,exclusions_flood,incomplete,47.56695193797973,-122.29250374073148
ST-AST-032,Mid-Atlantic Fiber Hut Extension 32,datacenter,Ashburn,VA,12166566.17,grid,exclusions_flood,incomplete,39.026883429853115,-77.48414569142582
ST-AST-033,Harbor Point Office Tower Extension 33,office,Miami,FL,13097360.63,hurricane_flood,in_market_review,clean,25.788418702917262,-80.2072148444766
ST-AST-034,Bayou Logistics Park Extension 34,industrial,Houston,TX,16277067.06,flood,exclusions_flood,incomplete,29.780606614170065,-95.33892146697494
ST-AST-035,Front Range Business Park Extension 35,office_flex,Denver,CO,11422498.96,wildfire_hail,full,clean,39.69579849442636,-105.00720155840715
ST-AST-036,Front Range Business Park Extension 36,office_flex,Denver,CO,11516641.91,wildfire_hail,full,clean,39.735353249463444,-104.99196078742976
ST-AST-037,Desert Edge Solar + BESS Extension 37,renewables,Phoenix,AZ,12824470.4,heat_drought,full,incomplete,33.43068567006041,-112.04817091273902
ST-AST-038,Bayou Logistics Park Extension 38,industrial,Houston,TX,9839817.43,flood,full,clean,29.759530166726055,-95.40231194090664
ST-AST-039,Empire State Floor Plate Extension 39,office,New York,NY,18188008.79,coastal_flood,full,incomplete,40.78363274255883,-74.00619316650969
ST-AST-040,Piedmont Data Campus Extension 40,datacenter,Atlanta,GA,17596763.83,heat_grid,exclusions_flood,incomplete,33.784930874517364,-84.41741948564817
ST-AST-041,Front Range Business Park Extension 41,office_flex,Denver,CO,12024710.75,wildfire_hail,in_market_review,clean,39.776657100403895,-104.95021695577992
ST-AST-042,Texas Interchange Industrial Extension 42,industrial,Dallas,TX,12995808.1,heat_hail,exclusions_flood,clean,32.80709916865265,-96.81362232674016
ST-AST-043,Cascade Wind Ridge Extension 43,renewables,Portland,OR,10714005.07,wildfire,exclusions_flood,incomplete,45.537565803906695,-122.68975332846634
ST-AST-044,Great Lakes Warehouse Cluster Extension 44,industrial,Chicago,IL,14480245.1,flood,in_market_review,clean,41.85584109353134,-87.661112440226
ST-AST-045,Harbor Point Office Tower Extension 45,office,Miami,FL,24877849.19,hurricane_flood,exclusions_flood,contradictory,25.799179723023997,-80.22443235463324
